Wall,Prism,Easting,Northing,RL
TSW1,OP-270-01-A,52670.301,158507.417,1.666
TSW1,OP-270-01-AB,52670.31,158507.397,-0.781
TSW1,OP-270-01-BB,52670.541,158507.134,-2.689
TSW1,OP-270-01-BB1,52670.54,158507.135,-2.689
TSW1,OP-270-01-C,52668.199,158510.145,-9.99
TSW1,OP-270-01-C1,52668.196,158510.145,-9.991
TSW1,OP-270-01-D,52670.212,158507.268,-15.925
TSW1,OP-270-02-A,52662.922,158515.902,1.619
TSW1,OP-270-02-AB,52662.906,158515.929,-0.784
TSW1,OP-270-02-BB,52663.305,158515.47,-2.369
TSW1,OP-270-02-C,52662.871,158516.272,-9.98
TSW1,OP-270-02-C1,52662.871,158516.272,-9.982
TSW1,OP-270-02-D,52662.374,158516.514,-15.98
TSW1,OP-270-03-A,52655,158525.023,1.7
TSW1,OP-270-03-AB,52655.018,158524.997,-0.774
TSW1,OP-270-03-BB,52655,158525.018,-2.5
TSW1,OP-270-03-C,52652.954,158527.37,-6.049
TSW1,OP-270-03-D,52657.344,158522.18,-15.982
TSW2,OP-270-04-A,52654.156,158537.56,1.744
TSW2,OP-270-04-A1,52654.156,158537.56,1.742
TSW2,OP-270-04-AB,52654.12,158537.54,-0.868
TSW2,OP-270-04-BB,52654.047,158537.475,-3.121
TSW2,OP-270-04-C,52657.546,158540.488,-6.431
TSW2,OP-270-04-D,52654.195,158537.469,-15.935
TSW2,OP-270-05-A,52659.209,158541.942,1.711
TSW2,OP-270-05-A1,52659.209,158541.942,1.712
TSW2,OP-270-05-AB,52659.227,158541.967,-0.786
TSW2,OP-270-05-BB,52659.262,158541.991,-3.062
TSW2,OP-270-05-C,52661.588,158543.943,-6.489
TSW2,OP-270-05-D,52659.104,158541.656,-16
TSW3,OP-270-06-A,52670.348,158542.885,2.815
TSW3,OP-270-06-A1,52670.376,158543.037,5.852
TSW3,OP-270-06-AB,52672.194,158540.544,-0.773
TSW3,OP-270-06-BB,52672.344,158540.358,-3.22
TSW3,OP-270-07-A,52672.372,158540.522,2.787
TSW3,OP-270-07-C,52674.481,158538.11,-8.95
TSW3,OP-270-07-C1,52674.475,158538.115,-8.957
TSW3,OP-270-07-D,52674.435,158538.127,-10.526
TSW3,OP-270-07-EE,52668.636,158545.159,-15.991
TSW3,OP-270-08-A,52681.279,158530.24,2.826
TSW3,OP-270-08-AB,52681.526,158529.772,-0.397
TSW3,OP-270-08-BB,52681.195,158530.15,-2.794
TSW3,OP-270-08-C,52683.407,158527.86,-5.953
TSW3,OP-270-08-D,52683.309,158527.962,-7.614
TSW3,OP-270-08-E,52680.153,158531.613,-12.789
TSW3,OP-270-08-EE,52681.58,158530.105,-15.978
TSW3,OP-270-09-A,52686.754,158523.931,2.81
TSW3,OP-270-09-AB,52686.831,158523.638,-0.592
TSW3,OP-270-09-BB,52686.953,158523.515,-2.795
TSW3,OP-270-09-C,52686.093,158524.971,-6.293
TSW3,OP-270-09-D,52686.022,158524.892,-7.779
TSW3,OP-270-09-E,52683.291,158527.984,-13.61
TSW3,OP-270-09-EE,52693.668,158516.123,-14.863
TSW4,OP-270-10-A,52686.061,158507.177,3.175
TSW4,OP-270-10-A1,52688.537,158509.333,3.239
TSW4,OP-270-10-B,52688.19,158509.155,-1.652
TSW4,OP-270-10-C,52685.249,158506.626,-2.149
TSW4,OP-270-10-D,52685.156,158506.645,-4.446
TSW4,OP-270-10-E,52685.898,158507.26,-9.46
TSW4,OP-270-11-A,52682.406,158504.008,3.307
TSW4,OP-270-11-A1,52682.395,158504.001,3.229
TSW4,OP-270-11-B,52682.549,158504.283,-1.364
